Op	Mnem.	Oper. 1	Oper. 2	Oper. 3	Bytes	Description
00	LD	addr			3	Load byte at [addr] into A
01	LD	addr	SP		3	Load byte at [addr + SP] into A
01	LD	!0	!0	SP	3	Load byte at [SP] into A
02						
03	LDS	dst	src		2	Load byte from memory addressed by src into dst register
04	LDW	addr			3	Load word at [addr] into A
05	LDW	addr	SP		3	Load word at [addr + SP] into A
05	LDW	!0	!0	SP	3	Load word at [SP] into A
06						
07	LDSW	dst	src		2	Load word from memory addressed by src into dst register
08	LD	addr	A		3	Load byte at [addr + A] into A
08	LD	!0	!0	A	3	Load byte at [A] into A
09	LD	addr	B		3	Load byte at [addr + B] into A
09	LD	!0	!0	B	3	Load byte at [B] into A
0A	LD	addr	C		3	Load byte at [addr + C] into A
0A	LD	!0	!0	C	3	Load byte at [C] into A
0B	LD	addr	D		3	Load byte at [addr + D] into A
0B	LD	!0	!0	D	3	Load byte at [D] into A
0C	LDW	addr	A		3	Load word at [addr + A] into A
0C	LDW	!0	!0	A	3	Load word at [A] into A
0D	LDW	addr	B		3	Load word at [addr + B] into A
0D	LDW	!0	!0	B	3	Load word at [B] into A
0E	LDW	addr	C		3	Load word at [addr + C] into A
0E	LDW	!0	!0	C	3	Load word at [C] into A
0F	LDW	addr	D		3	Load word at [addr + D] into A
0F	LDW	!0	!0	D	3	Load word at [D] into A
10	ST	addr			3	Store byte from A into memory at [addr]
11	ST	addr	SP		3	Store byte from A into memory at [addr + SP]
11	ST	!0	!0	SP	3	Store byte from A into memory at [SP]
12						
13	STS	src	dst		2	Store byte from src into memory addressed by dst register
14	STW	addr			3	Store word from A into memory at [addr]
15	STW	addr	SP		3	Store word from A into memory at [addr + SP]
15	STW	!0	!0	SP	3	Store word from A into memory at [SP]
16						
17	STSW	src	dst		2	Store word from src into memory addressed by dst register
18	ST	addr	A		3	Store byte from A into memory at [addr + A]
18	ST	!0	!0	A	3	Store byte from A into memory at [A]
19	ST	addr	B		3	Store byte from A into memory at [addr + B]
19	ST	!0	!0	B	3	Store byte from A into memory at [B]
1A	ST	addr	C		3	Store byte from A into memory at [addr + C]
1A	ST	!0	!0	C	3	Store byte from A into memory at [C]
1B	ST	addr	D		3	Store byte from A into memory at [addr + D]
1B	ST	!0	!0	D	3	Store byte from A into memory at [D]
1C	STW	addr	A		3	Store word from A into memory at [addr + A]
1C	STW	!0	!0	A	3	Store word from A into memory at [A]
1D	STW	addr	B		3	Store word from A into memory at [addr + B]
1D	STW	!0	!0	B	3	Store word from A into memory at [B]
1E	STW	addr	C		3	Store word from A into memory at [addr + C]
1E	STW	!0	!0	C	3	Store word from A into memory at [C]
1F	STW	addr	D		3	Store word from A into memory at [addr + D]
1F	STW	!0	!0	D	3	Store word from A into memory at [D]
20	LDI	A	#imm8		2	Load 8-bit immediate into A
21	LDI	B	#imm8		2	Load 8-bit immediate into B
22	LDI	C	#imm8		2	Load 8-bit immediate into C
23	LDI	D	#imm8		2	Load 8-bit immediate into D
24	LDI	A	#imm16		3	Load 16-bit immediate into A
25	LDI	B	#imm16		3	Load 16-bit immediate into B
26	LDI	C	#imm16		3	Load 16-bit immediate into C
27	LDI	D	#imm16		3	Load 16-bit immediate into D
28	JMP	rel	PC		2	Add signed offset to PC
29	JMP	addr			3	Jump to absolute address
2A	JMPI	addr	SP		3	Jump to address at [addr + SP]
2B	MOV	dst	src		2	Copy value from src to dst register
2C	JMPI	addr	A		3	Jump to address at [addr + A]
2D	JMPI	addr	B		3	Jump to address at [addr + B]
2E	JMPI	addr	C		3	Jump to address at [addr + C]
2F	JMPI	addr	D		3	Jump to address at [addr + D]
30	J{cc}	rel	PC		2	Conditional relative jump from PC
31	J{cc}	addr			3	Conditional absolute jump
32	J{cc}I	addr	SP		3	Conditional jump to address at [addr + SP]
33	MOV{cc}	dst	src		2	Conditional register move
34	J{cc}I	addr	A		3	Conditional jump to address at [addr + A]
35	J{cc}I	addr	B		3	Conditional jump to address at [addr + B]
36	J{cc}I	addr	C		3	Conditional jump to address at [addr + C]
37	J{cc}I	addr	D		3	Conditional jump to address at [addr + D]
38	CALL	rel	PC		2	Push PC and perform relative subroutine call
39	CALL	addr			3	Push PC and call absolute address
3A	CALLI	addr	SP		3	Push PC and call address at [addr + SP]
3B	PUSHMOV	dst	src		2	Push src register, then copy src to dst
3C	CALLI	addr	A		3	Push PC and call address at [addr + A]
3D	CALLI	addr	B		3	Push PC and call address at [addr + B]
3E	CALLI	addr	C		3	Push PC and call address at [addr + C]
3F	CALLI	addr	D		3	Push PC and call address at [addr + D]
40	PUSH	A			1	Push A onto stack
41	PUSH	B			1	Push B onto stack
42	PUSH	C			1	Push C onto stack
43	PUSH	D			1	Push D onto stack
44						
45	PUSH	SP			1	Push SP onto stack
46	PUSH	PC			1	Push PC onto stack
47	PUSH	FLAGS			1	Push FLAGS onto stack
48	POP	A			1	Pop stack into A
49	POP	B			1	Pop stack into B
4A	POP	C			1	Pop stack into C
4B	POP	D			1	Pop stack into D
4C						
4D	POP	SP			1	Pop stack into SP
4E	POP	PC			1	Pop stack into PC
4E	RET				1	Return from subroutine
4F	POP	FLAGS			1	Pop stack into FLAGS
50	MOVS	dst	src		2	Move byte from memory addressed by src to memory addressed by dst
51	NOP				1	No operation
52						
53						
54						
55						
56						
57						
58						
59						
5A						
5B						
5C						
5D						
5E						
5F						
60	CIRQ	addr			3	Clear interrupt request at addr
61	SIRQ	addr			3	Set interrupt request at addr
62	WAIT				1	Halt execution until interrupt
63	RETI				1	Return from interrupt
64	STF	#imm16			3	Set flags specified by immediate mask
64	ST{flag}				3	Set flag specified
64	HALT	!128	!0		3	Halt execution
65	CLF	#imm16			3	Clear flags specified by immediate mask
65	CL{flag}				3	Clear flag specified
66						
67						
68	NOT	dst			2	Bitwise NOT of dst register
69	NEG	dst			2	Two's complement negate dst register
6A	INC	dst			2	Increment dst register
6B	DEC	dst			2	Decrement dst register
6C	SXT	dst			2	Sign-extend low byte of dst register
6D	SWAP	dst			2	Swap high and low bytes of dst register
6E						
6F						
70	TST	A			1	Test A against A and update flags
71	TST	B			1	Test A against B and update flags
72	TST	C			1	Test A against C and update flags
73	TST	D			1	Test A against D and update flags
74	TST	A	#imm16		3	Test A against immediate
